tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
SPAC212.11	-	-	SPAC212.11	tlh1	-	I:0-5662	-	-	11.2973	10.5046	12.0901	OK
SPAC212.10	-	-	SPAC212.10	-	-	I:5725-6331	-	-	0.27819	0	0.884888	OK
SPAC212.09c	-	-	SPAC212.09c	-	-	I:7618-9274	-	-	7.5385	6.29002	8.78699	OK
SPNCRNA.70	-	-	SPNCRNA.70	-	-	I:11026-11556	-	-	0.685486	0	1.47702	OK
SPAC212.08c	-	-	SPAC212.08c	-	-	I:11783-12994	-	-	0.96466	0.429563	1.49976	OK
SPAC212.07c	-	-	SPAC212.07c	-	-	I:13664-14555	-	-	0.434769	0	0.869749	OK
SPAC212.12	-	-	SPAC212.12	-	-	I:15854-16226	-	-	2.71718	0.247845	5.18652	OK
SPAC212.06c	-	-	SPAC212.06c	-	-	I:18041-18974	-	-	5.28969	3.76558	6.81381	OK
SPAC212.05c	-	-	SPAC212.05c	-	-	I:20823-21015	-	-	0	0	0	OK
SPAC212.04c	-	-	SPAC212.04c	-	-	I:21380-23050	-	-	5.37229	4.29798	6.44659	OK
SPAC212.03	-	-	SPAC212.03	-	-	I:23588-24054	-	-	0.567978	0	1.37234	OK
SPAC212.02	-	-	SPAC212.02	-	-	I:27352-27763	-	-	1.97361	0	3.94911	OK
SPAC212.01c	-	-	SPAC212.01c	-	-	I:28737-29657	-	-	6.51895	4.77054	8.26736	OK
SPAC977.01	-	-	SPAC977.01	-	-	I:29763-31069	-	-	7.9967	6.52335	9.47005	OK
SPAC977.18	-	-	SPAC977.18	-	-	I:31139-32345	-	-	1.09949	0.274873	1.92411	OK
SPAC977.02	-	-	SPAC977.02	-	-	I:32033-33012	-	-	1.20468	0.509716	1.89965	OK
SPAC977.03	-	-	SPAC977.03	-	-	I:33834-34272	-	-	0.476626	0	1.51609	OK
SPAC977.04	-	-	SPAC977.04	-	-	I:34297-34978	-	-	0.547373	0	1.26294	OK
